method,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_macro_mean,f1_macro_std,f1_macro_ci_lower,f1_macro_ci_upper,auc_mean,auc_std,auc_ci_lower,auc_ci_upper,brier_mean,brier_std,brier_ci_lower,brier_ci_upper,ece_mean,ece_std,ece_ci_lower,ece_ci_upper,uncertainty_auroc_mean,uncertainty_auroc_std,uncertainty_auroc_ci_lower,uncertainty_auroc_ci_upper
Climatology,0.7710787710787711,0.0,0.7710787710787711,0.7710787710787711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43537237511412546,0.0,0.43537237511412546,0.43537237511412546,0.5,0.0,0.5,0.5,0.17653083986903426,0.0,0.17653083986903426,0.17653083986903426,0.0038131350108559503,0.0,0.0038131350108559503,0.0038131350108559503,0.5,0.0,0.5,0.5
LR,0.8380688380688379,1.2412670766236366e-16,0.8380688380688378,0.838068838068838,0.712091662603608,0.0,0.712091662603608,0.712091662603608,0.4912546249579549,0.0,0.4912546249579549,0.4912546249579549,0.7405136870468054,0.0,0.7405136870468054,0.7405136870468054,0.8538898888344075,0.0,0.8538898888344075,0.8538898888344075,0.11667878613168996,0.0,0.11667878613168996,0.11667878613168996,0.01194738520942703,0.0,0.01194738520942703,0.01194738520942703,0.7782408048179541,0.0,0.7782408048179541,0.7782408048179541
RF,0.8425810425810425,0.000782129016499812,0.8416099011393041,0.8435521840227809,0.7577625192306611,0.004007267726754624,0.752786839163186,0.7627381992981361,0.4591321897073663,0.002234330685433307,0.4563579017351818,0.4619064776795508,0.7376814331625192,0.0011932205440377097,0.7361998541710705,0.739163012153968,0.8646431306295639,0.00033997711162818525,0.8642209932898418,0.865065267969286,0.11404015042600579,3.4874735171372996e-05,0.1139968477228966,0.11408345312911498,0.02662034809126017,0.0006197677650258889,0.025850804770180317,0.027389891412340026,0.7845498535092603,0.001969889387376529,0.7821039127765113,0.7869957942420094
XGB,0.8511511511511511,0.0002588393980745263,0.8508297595892452,0.8514725427130571,0.7422577441091982,0.0013966977978833739,0.7405235147371959,0.7439919734812005,0.5358560376723849,0.0013102960767428572,0.5342290902069057,0.5374829851378641,0.7648477590893343,0.0004137506611110038,0.7643340197891998,0.7653614983894689,0.8794558816781967,0.0004979914617949096,0.878837543608673,0.8800742197477203,0.1068977251648903,0.00014794192820895998,0.10671403099880838,0.1070814193309722,0.007977101266644585,0.00032550573649493434,0.007572932512430024,0.008381270020859146,0.8005656819435485,0.0007558019731875084,0.7996272298436702,0.8015041340434268
LSTM,0.8565257565257565,0.0010318441279590458,0.8552445528203118,0.8578069602312012,0.7360439021684062,0.008429091033392497,0.7255778032946606,0.7465100010421518,0.5822737975109317,0.011199721364035745,0.568367506703295,0.5961800883185684,0.7799183431365608,0.002274874247364283,0.7770937136831677,0.782742972589954,0.8901258075559337,0.0006321558422873225,0.8893408824053114,0.8909107327065561,0.10285698622465134,0.0002521908001143959,0.10254384998747108,0.10317012246183159,0.013719511815169862,0.0018145087418290511,0.01146650163601472,0.015972521994325004,0.8101795514711785,0.0014986504302848633,0.8083187311860012,0.8120403717563558
GRU,0.8568337568337568,0.000599291159036562,0.8560896385771394,0.8575778750903743,0.7448505082963072,0.010807674712353665,0.7314310077016803,0.758270008890934,0.5703329969727549,0.01509290433059934,0.551592681037116,0.5890733129083937,0.7780399744886003,0.0026913245373530363,0.7746982537030866,0.7813816952741139,0.8896794840402045,0.00043420064489220657,0.889140352731445,0.890218615348964,0.10287109464406967,0.00027288003567801824,0.10253226932793971,0.10320991996019963,0.01077502220222223,0.0014874045834985198,0.008928165480128855,0.012621878924315606,0.8089143028331807,0.0009169289218212664,0.8077757852020434,0.8100528204643179
MCDropout,0.8563255563255563,0.0005595103449475433,0.8556308324736124,0.8570202801775002,0.7429836900688592,0.006019434731230052,0.7355095746735535,0.750457805464165,0.5694920955264042,0.008186079482805458,0.5593277353461702,0.5796564557066383,0.7773320502688541,0.0015833296356988118,0.7753660868629179,0.7792980136747903,0.8888701411700042,0.0003896960994898325,0.8883862695530272,0.8893540127869811,0.10319046974182129,0.00012461072088423104,0.10303574509590913,0.10334519438773346,0.008846602862200414,0.004250404323233536,0.0035690288362316977,0.01412417688816913,0.8081529091731612,0.0007976777170557018,0.8071624614697237,0.8091433568765987
BNN,0.8503426503426503,0.0006518910376155318,0.8495332207104914,0.8511520799748092,0.7493029233203984,0.004216710238119717,0.7440671860268679,0.7545386606139288,0.5204507231752439,0.00949258181839853,0.5086641260813348,0.5322373202691529,0.7606754338760285,0.002725103597381887,0.7572917708477839,0.7640590969042732,0.8803354600565599,0.0007101741684378668,0.8794536623591563,0.8812172577539635,0.10688183307647706,0.00029554128268991723,0.10651487010577802,0.10724879604717609,0.013647837173691373,0.0022523065210551334,0.010851229253577645,0.0164444450938051,0.8038247118373489,0.0015466791212545602,0.8019042560557137,0.8057451676189842
EDL-C1,0.8554015554015553,0.001002628525689783,0.8541566276576341,0.8566464831454764,0.7762938390301749,0.007952934287241219,0.7664189668456272,0.7861687112147226,0.5176252943155063,0.007025830971966871,0.50890157294015,0.5263490156908626,0.7658490610961181,0.001857243215466681,0.7635429890595649,0.7681551331326713,0.8889065726751468,0.0009812447309628944,0.8876881964192831,0.8901249489310106,0.10387770682573319,0.000491367732750549,0.10326759320209783,0.10448782044936855,0.020984766029450812,0.002958023625467429,0.017311894587871732,0.024657637471029892,0.8069492913596396,0.002699048869379061,0.803597979549139,0.8103006031701401
EDL-Fixed,0.8558558558558559,0.0016480984671597798,0.8538094713236888,0.857902240388023,0.7500219108029855,0.008750317792556786,0.739156956227126,0.7608868653788451,0.5556676757484024,0.007640643586680494,0.5461805636837147,0.56515478781309,0.7741535764379852,0.0024374962296036208,0.7711270251239289,0.7771801277520415,0.888868949599051,0.000977122066873502,0.8876556923067638,0.8900822068913383,0.10324090570211411,0.0004064767427293895,0.1027361981645599,0.10374561323966833,0.008867758031625563,0.0025759520487905092,0.005669291111543162,0.012066224951707965,0.8093843551930048,0.0035738886464290816,0.8049467863271446,0.813821924058865
