parameter,value,val_f1_macro,test_f1_macro,test_accuracy,test_ece,test_unc_auroc
lambda_reg,0.0,0.7661041264568498,0.7742395268390462,0.8562408562408562,0.008995666202263011,0.8070609360128395
lambda_reg,0.001,0.7671568155445447,0.7719990911377139,0.8546238546238546,0.00977830474824344,0.8093649713251002
lambda_reg,0.01,0.7698603909636507,0.7732162190479517,0.8546238546238546,0.009420764578308854,0.8108740566412304
lambda_reg,0.1,0.7693240947245655,0.7716983066113001,0.8536613536613537,0.011463961995351562,0.8080823807685881
dropout,0.0,0.7686499826376627,0.773864675618882,0.8545083545083545,0.008524163716563112,0.804211849777952
dropout,0.2,0.7670165950462535,0.7752521194472495,0.857010857010857,0.005974738015810114,0.8073879836426703
dropout,0.3,0.7671568155445447,0.7719990911377139,0.8546238546238546,0.00977830474824344,0.8093649713251002
dropout,0.4,0.7682557623784347,0.7730850772767331,0.8555478555478555,0.012957269228324199,0.8095705990375468
dropout,0.5,0.7661041264568498,0.774173321693703,0.8561253561253561,0.012369873464211353,0.8050184832866181
learning_rate,0.0001,0.7586597396150765,0.7667342723231543,0.8511588511588511,0.023628297215926422,0.8002491484450458
learning_rate,0.0005,0.7700179316558502,0.7747758414523593,0.854970354970355,0.010993597653820736,0.8074437447044376
learning_rate,0.001,0.7671568155445447,0.7719990911377139,0.8546238546238546,0.00977830474824344,0.8093649713251002
learning_rate,0.005,0.7710506158944539,0.7735360836761485,0.8556248556248556,0.009706452764129542,0.8079789416846653
learning_rate,0.01,0.7729584972398783,0.7741889275324125,0.8536613536613537,0.01418753048298774,0.8029140465626233
